action_datetime,path_name,method,ip,status_response,response,description,request_body,request_query,duration
2025-02-05 10:29:29,/users/2,GET,::1,200,"{""message"":""ok"",""data"":{""ID"":2,""Name"":""User"",""Email"":""user@gmail.com"",""Phone"":""0987654321"",""Password"":""$2a$10$j3u/NoMXCHGaAQX92unfHeymF4N0foLDeBqLP7N8wjY9S/gixulG6"",""CreatedAt"":""2025-01-08T08:31:47.751324Z"",""UpdatedAt"":""2025-01-08T15:50:53.729619Z""}}",Request logged by middleware,,{},0.007
2025-02-05 13:21:21,/auth/login,POST,::1,200,"{""message"":""ok"",""data"":{""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3Mzg4MjI4ODEsInVzZXJJRCI6IjEifQ.SZAs_jazMsQF037w1zVMwIQJ_7AXnSHGOL7yyy9QQ3o"",""refresh_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3MzkzNDEyODEsInVzZXJJRCI6IjEifQ.gXOKe7MBuLBkxt1veClnWwWshaEJeAI3zLoD5RvnDtk""}}",Request logged by middleware,"{""email"":""admin@gmail.com"",""password"":""******""}",{},0.076
2025-02-05 13:21:30,/auth/login,POST,::1,200,"{""message"":""ok"",""data"":{""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3Mzg4MjI4OTAsInVzZXJJRCI6IjIifQ.ctZh0S5hzUzsxSoZR3a5Bj63RUtcbJ3tvSDNjHSbOuc"",""refresh_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3MzkzNDEyOTAsInVzZXJJRCI6IjIifQ.dQVO6OFo8_dE_jXB9xb5ms97pIJkK8TfF2InuCwLyo8""}}",Request logged by middleware,"{""email"":""user@gmail.com"",""password"":""******""}",{},0.054
2025-02-05 13:21:32,/users/2,GET,::1,500,"{""message"":""ERROR_FORBIDDEN_USER_ACCESS"",""data"":null}",Request logged by middleware,,{},0.005
2025-02-05 14:13:45,/auth/register,POST,::1,500,"{""message"":""Bad request"",""data"":null}",Request logged by middleware,"{""email"":""string@gmail.com"",""password"":""******""}",{},0.101
2025-02-05 14:13:56,/auth/register,POST,::1,500,"{""message"":""Bad request"",""data"":null}",Request logged by middleware,"{""email"":""string@gmail.com"",""password"":""******""}",{},0.065
2025-02-05 14:24:04,/auth/login,POST,::1,200,"{""message"":""ok"",""data"":{""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3Mzg4MjY2NDQsInVzZXJJRCI6IjIifQ.6bIgK-8aFNJgRsfealZT9YMcZW5d9PsNWvHWwYkCOKk"",""refresh_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3MzkzNDUwNDQsInVzZXJJRCI6IjIifQ.SDFcVD3oEzsVJYXNxKuTLKl7wUJR0TbJWSwdFW-hDdI""}}",Request logged by middleware,"{""email"":""user@gmail.com"",""password"":""******""}",{},0.055
2025-02-05 14:24:06,/users/2,GET,::1,500,"{""message"":""ERROR_FORBIDDEN_USER_ACCESS"",""data"":null}",Request logged by middleware,,{},0.004
2025-02-05 14:24:24,/upload,POST,::1,200,"{""message"":""ok"",""data"":""https://hcm.mobifone.vn/minio/test/do.jpg_20250205""}",Request logged by middleware,file upload,{},0.022
2025-02-05 14:24:46,/auth/login,POST,::1,200,"{""message"":""ok"",""data"":{""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3Mzg4MjY2ODYsInVzZXJJRCI6IjEifQ.mlJbWpOKbsLpv8ZLey6lUx3U4-Z9D-F309hFniYA3ck"",""refresh_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3MzkzNDUwODYsInVzZXJJRCI6IjEifQ.xvMDOsEQyNFipmWuBqp6oO7kkwouJUg_d_ljOAfPNzg""}}",Request logged by middleware,"{""email"":""admin@gmail.com"",""password"":""******""}",{},0.053
2025-02-05 14:24:49,/users/2,GET,::1,200,"{""message"":""ok"",""data"":{""ID"":2,""Name"":""User"",""Email"":""user@gmail.com"",""Phone"":""0987654321"",""Password"":""$2a$10$j3u/NoMXCHGaAQX92unfHeymF4N0foLDeBqLP7N8wjY9S/gixulG6"",""CreatedAt"":""2025-02-05T07:17:43.655452Z"",""UpdatedAt"":""2025-02-05T07:17:43.655452Z""}}",Request logged by middleware,,{},0.005
2025-02-05 14:25:53,/users/export-template,GET,::1,200,file export,Request logged by middleware,,{},0.010
2025-02-05 14:26:52,/auth/register,POST,::1,201,"{""message"":""ok"",""data"":null}",Request logged by middleware,"{""email"":""string@gmail.com"",""password"":""******""}",{},0.055
2025-02-05 14:54:00,/users/update/3,PUT,::1,400,"{""message"":""Invalid request body"",""data"":null}",Request logged by middleware,string,{},0.000
2025-02-05 14:54:52,/users/update/3,PUT,::1,200,"{""message"":""Full name updated successfully"",""data"":{""ID"":3,""Name"":""a"",""Email"":""string@gmail.com"",""Phone"":"""",""Password"":""$2a$10$TBPNdVAZLXcHSo2jtAYmS.vqNzhgf9mK6dIUo/13.elUOjZNn9BTq"",""CreatedAt"":""2025-02-05T14:26:52.34023Z"",""UpdatedAt"":""2025-02-05T14:54:52.2526894+07:00""}}",Request logged by middleware,"{
""full_name"":""a""
}",{},0.007
2025-02-05 14:55:10,/users/update/3,PUT,::1,200,"{""message"":""Full name updated successfully"",""data"":{""ID"":3,""Name"":""zxczxcczxa"",""Email"":""string@gmail.com"",""Phone"":"""",""Password"":""$2a$10$TBPNdVAZLXcHSo2jtAYmS.vqNzhgf9mK6dIUo/13.elUOjZNn9BTq"",""CreatedAt"":""2025-02-05T14:26:52.34023Z"",""UpdatedAt"":""2025-02-05T14:55:10.1720948+07:00""}}",Request logged by middleware,"{
""full_name"":""zxczxcczxa""
}",{},0.005
2025-02-05 15:09:31,/users/update/3,PUT,::1,200,"{""message"":""Full name updated successfully"",""data"":{""ID"":3,""Name"":""string"",""Email"":""string@gmail.com"",""Phone"":"""",""Password"":""$2a$10$TBPNdVAZLXcHSo2jtAYmS.vqNzhgf9mK6dIUo/13.elUOjZNn9BTq"",""CreatedAt"":""2025-02-05T14:26:52.34023Z"",""UpdatedAt"":""2025-02-05T15:09:31.4275944+07:00""}}",Request logged by middleware,"{
  ""full_name"": ""string""
}",{},0.006
2025-02-05 15:18:46,/users/update/2,PUT,::1,200,"{""message"":""Full name updated successfully"",""data"":{""ID"":2,""Name"":""strin2222g"",""Email"":""user@gmail.com"",""Phone"":""0987654321"",""Password"":""$2a$10$j3u/NoMXCHGaAQX92unfHeymF4N0foLDeBqLP7N8wjY9S/gixulG6"",""CreatedAt"":""2025-02-05T07:17:43.655452Z"",""UpdatedAt"":""2025-02-05T15:18:46.1827114+07:00""}}",Request logged by middleware,"{
  ""full_name"": ""strin2222g""
}",{},0.006
